what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1474157837125
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1474157838165
started,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1474157838174
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1474157838175
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1474157838176
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1474157838186
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1474157841442
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1474157843345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474157926738
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474157967271
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1474157967309
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1474157974307
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1474157981508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474157984065
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158011348
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1474158016209
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1474158023690
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1474158026137
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158029347
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158033174
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1474158061114
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1474158063705
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1474158069028
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158071604
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158085831
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1474158091304
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1474158096002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158096702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158112413
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1474158116065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158118470
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158121637
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158125412
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158125555
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1474158125558
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1474158128786
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158135459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158135615
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1474158135619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158149293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158177279
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1474158188254
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1474158188897
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1474158189348
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1474158191821
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1474158193289
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158195336
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158198459
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158202242
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158202381
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1474158202385
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158213852
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158288666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158291471
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158318231
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1474158319729
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1474158335988
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1474158339427
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158341327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158345197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158349124
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158349264
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1474158349267
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1474158356961
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158359220
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158398008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158405433
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158406508
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158409677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158420320
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158430066
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1474158446075
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158446143
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1474158473307
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1474158484322
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158484948
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158598777
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1474158601378
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158609248
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158609409
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1474158609412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158612923
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158619700
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158652183
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158672631
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1474158701509
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1474158702947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158704259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158789206
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474158820017
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474159002503
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1474159003904
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474161968245
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474203701238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474203708989
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474203711639
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.4.v20110204-0100-e3x,"org.eclipse.cdt.mylyn.ui",1474203711877
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1474203712007
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201102110609,"org.eclipse.cdt.debug.mi.ui",1474203712497
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1474203712497
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.1.201102110609,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1474203712499
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.search",1474203712500
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1474203712503
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.2.201102110609,"org.eclipse.cdt.dsf.ui",1474203712507
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201102110609,"org.eclipse.cdt.gdb.ui",1474203712508
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1474203712508
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1474203712508
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1474203712508
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201102110609,"org.eclipse.cdt.debug.ui.memory.traditional",1474203712511
stopped,bundle,org.eclipse.cdt.dsf,2.1.1.201102110609,"org.eclipse.cdt.dsf",1474203712511
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1474203712511
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1474203712513
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui",1474203712514
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.gnu.ui",1474203712516
